AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease	ecotype	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	dev_stage	tissue
250	SAMN08465574	SRX3646898	L10047-1_BO17-004_S12	20338	7028	SRR6670179	SRS2911524	BO17-004	112	B_rural_2016	Site B:rural_2016	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465575	SRX3646897	L10048-1_BO17-005_S13	18585	6436	SRR6670180	SRS2911523	BO17-005	113	B_rural_2016	Site B:rural_2016	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
200	SAMN08465576	SRX3646896	L10049-3_BO17-006_S36	2636	1084	SRR6670181	SRS2911522	BO17-006	114	B_rural_2016	Site B:rural_2016	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465577	SRX3646895	L10050-2_BO17-007_S15	20551	7327	SRR6670182	SRS2911521	BO17-007	115	B_rural_2016	Site B:rural_2016	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
200	SAMN08465578	SRX3646894	L10051-3_BO17-008_S37	2861	1179	SRR6670183	SRS2911520	BO17-008	116	B_rural_2016	Site B:rural_2016	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465579	SRX3646893	L10052-2_BO17-009_S17	20309	7152	SRR6670184	SRS2911519	BO17-009	117	B_rural_2016	Site B:rural_2016	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465580	SRX3646892	L6467-1_BO15-151_S22	20438	7286	SRR6670185	SRS2911518	BO15-151	118	C1_rural_2012	Site C1:rural_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465535	SRX3646891	L5704-1_BO15-022_TTAGGC_L003	28426	10880	SRR6670186	SRS2911517	BO15-022	73	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465536	SRX3646890	L5732-1_BO15-051_CAGATC_L005	13271	4362	SRR6670187	SRS2911516	BO15-051	74	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465533	SRX3646889	L5750-1_BO15-071_GCCAAT_L005	12356	4058	SRR6670188	SRS2911515	BO15-071	71	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
